real,kernel,user,max,avg
62.61,20.83,386.51,1454784,0
60.68,20.50,383.71,1451136,0
58.92,20.91,385.99,1454700,0
58.36,21.06,386.76,1453544,0
59.51,21.08,385.93,1452352,0
58.67,20.97,386.58,1453728,0
61.04,20.75,385.40,1454340,0
61.63,20.91,385.23,1454816,0
62.08,20.84,385.73,1454244,0
62.45,20.91,385.50,1453616,0
59.69,21.06,387.14,1451352,0
61.94,20.81,388.22,1452372,0
60.28,21.08,385.99,1453060,0
60.84,21.53,386.26,1453084,0
59.15,21.38,387.23,1452756,0
60.66,21.63,383.81,1453304,0
61.98,21.29,387.24,1453328,0
