name,elem_size,ins_mix,num_elems,repetitions,time,control,control2,control3
array, 8, 0, 10, 3816553, 1.000000, 24, 24, 8
linked list, 8, 0, 10, 1796084, 1.000000, 24, 24, 8
linked list (alt.), 8, 0, 10, 1798326, 1.000000, 24, 24, 8
array, 8, 0, 1000, 4036694, 1.000000, 1194, -82, 8
linked list, 8, 0, 1000, 22058, 1.000003, 2394, 99, 8
linked list (alt.), 8, 0, 1000, 22167, 1.000012, 2094, 54, 8
array, 512, 0, 10, 1672383, 1.000000, 24, 24, 512
linked list, 512, 0, 10, 897222, 1.000000, 24, 24, 512
linked list (alt.), 512, 0, 10, 1151172, 1.000000, 24, 24, 512
array, 512, 0, 1000, 1933089, 1.000000, 2694, -112, 512
linked list, 512, 0, 1000, 22197, 1.000041, 2094, 54, 512
linked list (alt.), 512, 0, 1000, 21979, 1.000042, 2694, -112, 512
array, 8M, 0, 10, 39, 1.017463, 24, 26396, 8388608
linked list, 8M, 0, 10, 37, 1.010735, 24, 27708, 8388608
linked list (alt.), 8M, 0, 10, 38, 1.010077, 24, 41900, 8388608
array, 8M, 0, 1000, 98, 1.006996, 2394, -7337, 8388608
linked list, 8M, 0, 1000, 144, 1.002630, 1194, 13698, 8388608
linked list (alt.), 8M, 0, 1000, 142, 1.006070, 594, 4119, 8388608
array, 8, 1, 10, 3932953, 1.000000, -513362030, -112, 8
linked list, 8, 1, 10, 1793304, 1.000000, 0, 0, 8
linked list (alt.), 8, 1, 10, 1811932, 1.000000, -1466468988, -200, 8
array, 8, 1, 1000, 736512, 1.000002, -42863948, 20, 8
linked list, 8, 1, 1000, 22020, 1.000063, 1698802388, 36, 8
linked list (alt.), 8, 1, 1000, 22380, 1.000027, 1698802388, 36, 8
array, 512, 1, 10, 1674041, 1.000000, 21, 21, 512
linked list, 512, 1, 10, 1127145, 1.000001, 21, 21, 512
linked list (alt.), 512, 1, 10, 1161351, 1.000001, 21, 21, 512
array, 512, 1, 1000, 596731, 1.000001, 288, 33, 512
linked list, 512, 1, 1000, 21794, 1.000002, 1188, -88, 512
linked list (alt.), 512, 1, 1000, 21972, 1.000009, 588, 78, 512
array, 8M, 1, 10, 42, 1.023002, 576, 9325, 8388608
linked list, 8M, 1, 10, 37, 1.027407, 672, 31089, 8388608
linked list (alt.), 8M, 1, 10, 39, 1.013865, 624, 39005, 8388608
array, 8M, 1, 1000, 122, 1.003303, 672, 22850, 8388608
linked list, 8M, 1, 1000, 144, 1.001658, 720, 10732, 8388608
linked list (alt.), 8M, 1, 1000, 148, 1.000217, 624, 79051, 8388608
array, 8, 10, 10, 3650821, 1.000000, 162, -94, 8
linked list, 8, 10, 10, 2046875, 1.000000, 162, -94, 8
linked list (alt.), 8, 10, 10, 2055870, 1.000000, 162, -94, 8
array, 8, 10, 1000, 80462, 1.000018, 15552, -4, 8
linked list, 8, 10, 1000, 21278, 1.000051, 64152, -110, 8
linked list (alt.), 8, 10, 1000, 21368, 1.000004, 64152, -110, 8
array, 512, 10, 10, 1634206, 1.000000, 18, 18, 512
linked list, 512, 10, 10, 1003023, 1.000000, 18, 18, 512
linked list (alt.), 512, 10, 10, 985749, 1.000000, 18, 18, 512
array, 512, 10, 1000, 80343, 1.000017, 888, 123, 512
linked list, 512, 10, 1000, 20840, 1.000033, 2988, -73, 512
linked list (alt.), 512, 10, 1000, 20858, 1.000042, 2388, 93, 512
array, 8M, 10, 10, 38, 1.024234, 672, 57253, 8388608
linked list, 8M, 10, 10, 34, 1.003352, 624, 10830, 8388608
linked list (alt.), 8M, 10, 10, 36, 1.026541, 672, 15202, 8388608
array, 8M, 10, 1000, 121, 1.000816, 720, 30541, 8388608
linked list, 8M, 10, 1000, 137, 1.001561, 672, 54211, 8388608
linked list (alt.), 8M, 10, 1000, 128, 1.005766, 576, 49459, 8388608
array, 8, 50, 10, 2276950, 1.000000, -131306643, 252, 8
linked list, 8, 50, 10, 1595994, 1.000000, -741144643, -150, 8
linked list (alt.), 8, 50, 10, 1589142, 1.000000, -1132512147, 228, 8
array, 8, 50, 1000, 34792, 1.000008, 1764, -22, 8
linked list, 8, 50, 1000, 20007, 1.000022, 6264, 144, 8
linked list (alt.), 8, 50, 1000, 19949, 1.000009, 8064, -97, 8
array, 512, 50, 10, 1223893, 1.000001, 63, 63, 512
linked list, 512, 50, 10, 1003375, 1.000000, 63, 63, 512
linked list (alt.), 512, 50, 10, 893777, 1.000000, 63, 63, 512
array, 512, 50, 1000, 33653, 1.000034, 2664, 114, 512
linked list, 512, 50, 1000, 19698, 1.000039, 7164, 23, 512
linked list (alt.), 512, 50, 1000, 19480, 1.000064, 8964, 39, 512
array, 8M, 50, 10, 40, 1.010744, 2160, 49312, 8388608
linked list, 8M, 50, 10, 35, 1.005577, 2016, 16023, 8388608
linked list (alt.), 8M, 50, 10, 36, 1.006095, 2016, 56596, 8388608
array, 8M, 50, 1000, 145, 1.005558, 4464, 43673, 8388608
linked list, 8M, 50, 1000, 140, 1.000704, 8964, 33135, 8388608
linked list (alt.), 8M, 50, 1000, 140, 1.004692, 8964, 40519, 8388608
array, 8, 0, 100000, 4007727, 1.000000, 218094, 68, 8
linked list, 8, 0, 100000, 421, 1.002274, 126294, 68, 8
linked list (alt.), 8, 0, 100000, 414, 1.003536, 124194, 8, 8
array, 8, 0, 10000000, 3832085, 1.000000, 9625494, -249, 8
linked list, 8, 0, 10000000, 381, 1.003176, 114294, 53, 8
linked list (alt.), 8, 0, 10000000, 382, 1.000239, 114594, -158, 8
array, 512, 0, 100000, 1660768, 1.000000, 230394, -128, 512
linked list, 512, 0, 100000, 431, 1.002355, 129294, 8, 512
linked list (alt.), 512, 0, 100000, 430, 1.004933, 128994, -38, 512
array, 512, 0, 10000000, 1838493, 1.000000, 11547894, -38, 512
linked list, 512, 0, 10000000, 363, 1.000747, 108894, 8, 512
linked list (alt.), 512, 0, 10000000, 382, 1.001682, 114594, -158, 512
array, 8, 1, 100000, 8392, 1.000071, 771179940, 13, 8
linked list, 8, 1, 100000, 429, 1.003066, 128688, -89, 8
linked list (alt.), 8, 1, 100000, 436, 1.003558, 130788, -29, 8
array, 8, 1, 10000000, 40, 1.023381, 11988, 2, 8
linked list, 8, 1, 10000000, 387, 1.000924, 116088, 62, 8
linked list (alt.), 8, 1, 10000000, 397, 1.001536, 119088, 2, 8
array, 512, 1, 100000, 8358, 1.000124, 107388, 32, 512
linked list, 512, 1, 100000, 436, 1.002132, 130788, -29, 512
linked list (alt.), 512, 1, 100000, 436, 1.003194, 130788, -29, 512
array, 512, 1, 10000000, 41, 1.009068, 12288, 48, 512
linked list, 512, 1, 10000000, 395, 1.003726, 118488, -89, 512
linked list (alt.), 512, 1, 10000000, 383, 1.002500, 114888, -119, 512
array, 8, 10, 100000, 608, 1.000678, 182388, 62, 8
linked list, 8, 10, 100000, 438, 1.003054, 131388, 63, 8
linked list (alt.), 8, 10, 100000, 444, 1.001784, 133188, 78, 8
array, 8, 10, 10000000, 5, 1.220666, 1488, -43, 8
linked list, 8, 10, 10000000, 397, 1.003541, 119088, 2, 8
linked list (alt.), 8, 10, 10000000, 384, 1.001022, 115188, -74, 8
array, 512, 10, 100000, 630, 1.000097, 188988, 32, 512
linked list, 512, 10, 100000, 431, 1.004779, 129288, 2, 512
linked list (alt.), 512, 10, 100000, 423, 1.000072, 126888, -104, 512
array, 512, 10, 10000000, 5, 1.235174, 1488, -43, 512
linked list, 512, 10, 10000000, 380, 1.004409, 113988, 2, 512
linked list (alt.), 512, 10, 10000000, 383, 1.004177, 114888, -119, 512
array, 8, 50, 100000, 183, 1.001400, 164664, -67, 8
linked list, 8, 50, 100000, 441, 1.003042, 396864, 84, 8
linked list (alt.), 8, 50, 100000, 423, 1.004256, 380664, -53, 8
array, 8, 50, 10000000, 2, 1.220875, 1764, -22, 8
linked list, 8, 50, 10000000, 383, 1.004248, 344664, 159, 8
linked list (alt.), 8, 50, 10000000, 380, 1.000979, 341964, 8, 8
array, 512, 50, 100000, 190, 1.004230, 170964, -143, 512
linked list, 512, 50, 100000, 416, 1.003759, 374364, 23, 512
linked list (alt.), 512, 50, 100000, 430, 1.000435, 386964, -128, 512
array, 512, 50, 10000000, 2, 1.227425, 1764, -22, 512
linked list, 512, 50, 10000000, 379, 1.002097, 341064, 129, 512
linked list (alt.), 512, 50, 10000000, 380, 1.001887, 341964, 8, 512
